88 op 31  0.198435 ms
88 op 32  0.508707 ms
88 op 34  0.601903 ms
88 op 35  0.604895 ms

89 op 0  0.094804 ms
89 op 1  0.097570 ms
89 op 10  0.503629 ms
89 op 11  0.195958 ms
89 op 12  0.509669 ms
89 op 30  0.506758 ms
89 op 31  0.198844 ms
89 op 32  0.512096 ms
89 op 34  0.604549 ms
89 op 35  0.607616 ms

90 op 0  0.094848 ms
90 op 1  0.097708 ms
90 op 10  0.501708 ms
90 op 11  0.195612 ms
90 op 12  0.508793 ms
90 op 30  0.504509 ms
90 op 31  0.198302 ms
90 op 32  0.511329 ms
90 op 34  0.602563 ms
90 op 35  0.605577 ms

91 op 0  0.095098 ms
91 op 1  0.097983 ms
91 op 10  0.502058 ms
91 op 11  0.195954 ms
91 op 12  0.512397 ms
91 op 30  0.505002 ms
91 op 31  0.198879 ms
91 op 32  0.514588 ms
91 op 34  0.602979 ms
91 op 35  0.605552 ms

92 op 0  0.095347 ms
92 op 1  0.098053 ms
92 op 10  0.503176 ms
92 op 11  0.196247 ms
92 op 12  0.509019 ms
92 op 30  0.506244 ms
92 op 31  0.198881 ms
92 op 32  0.511368 ms
92 op 34  0.603742 ms
92 op 35  0.607039 ms

93 op 0  0.094469 ms
93 op 1  0.097199 ms
93 op 10  0.502941 ms
93 op 11  0.195254 ms
93 op 12  0.509923 ms
93 op 30  0.505739 ms
93 op 31  0.198446 ms
93 op 32  0.511620 ms
93 op 34  0.603721 ms
93 op 35  0.606444 ms

94 op 0  0.095294 ms
94 op 1  0.097839 ms
94 op 10  0.502747 ms
94 op 11  0.196190 ms
94 op 12  0.508692 ms
94 op 30  0.505861 ms
94 op 31  0.198617 ms
94 op 32  0.511130 ms
94 op 34  0.603653 ms
94 op 35  0.606416 ms

95 op 0  0.095062 ms
95 op 1  0.097878 ms
95 op 10  0.503548 ms
95 op 11  0.196074 ms
95 op 12  0.509067 ms
95 op 30  0.506437 ms
95 op 31  0.198901 ms
95 op 32  0.512071 ms
95 op 34  0.604422 ms
95 op 35  0.608181 ms

96 op 0  0.094221 ms
96 op 1  0.096892 ms
96 op 10  0.500597 ms
96 op 11  0.194816 ms
96 op 12  0.510170 ms
96 op 30  0.503607 ms
96 op 31  0.197731 ms
96 op 32  0.511223 ms
96 op 34  0.601366 ms
96 op 35  0.603904 ms

97 op 0  0.095262 ms
97 op 1  0.097996 ms
97 op 10  0.502232 ms
97 op 11  0.196068 ms
97 op 12  0.507653 ms
97 op 30  0.504965 ms
97 op 31  0.198626 ms
97 op 32  0.509992 ms
97 op 34  0.602952 ms
97 op 35  0.605757 ms

98 op 0  0.095278 ms
98 op 1  0.098118 ms
98 op 10  0.501537 ms
98 op 11  0.195932 ms
98 op 12  0.507116 ms
98 op 30  0.504387 ms
98 op 31  0.198752 ms
98 op 32  0.509681 ms
98 op 34  0.602572 ms
98 op 35  0.605897 ms

99 op 0  0.094437 ms
99 op 1  0.097576 ms
